Sap System,Sensor,Clone ,Density,Tree,Direction from measurement tree,Orientation,Diameter 2/16 Taken just above sensor,,,code,,Notes,,Key,,,,,
1,1,C4,750,1,Measurent tree,s,12,,,HCOS1,,,,Digit,1: density,2: genotype,3: Depth,4:orientation,5: tree #
1,2,C4,750,1,Measurent tree,n,12,,,HCON1,,,,,H: high,O: OP,O: outer,N: north,original 17/system
1,3,C4,750,2,N,n,13,,,HCON2,,,,,L: low,A: C2,I: inner,S: south,
1,4,C4,750,9,NW,s,14.2,,,HCIS9,,deep,,,,B: C3,,,
1,5,C4,750,3,NE,n,11.8,,,HCON3,,,,,,C: C4,,,
1,6,C4,750,4,E,s,12.8,,,HCOS4,,,,,,,,,
1,7,C4,750,5,SE,n,12.3,,,HCON5,,,,,s1,HC,,,
1,8,C4,750,6,S,s,12,,,HCOS6,,,,,,LO,,,
1,9,C4,750,6,S,n,12,,,HCON6,,,,,s2,LC,,,
1,10,C4,750,7,SW,s,12.3,,,HCOS7,,,,,,HO,,,
1,11,C4,750,8,W,n,14.6,,,HCON8,,,,,s3,LA,,,
1,12,C4,750,8,W,s,14.6,,,HCOS8,,,,,,LB,,,
1,13,C4,750,8,W,n,13.2,,,HCIN8,,deep,,,s4,HB,,,
1,14,C4,750,9,NW,n,14.5,,,HCON9,,,,,,HA,,,
1,15,C4,750,2,N,s,13,,,HCOS2,,,,,,,,,
1,16,C4,750,4,E,n,12.8,,,HCON4,,,,,,,,,
1,17,OP,250,10,Measurent tree,n,14.8,,,LOON10,,,,,,,,,
1,18,OP,250,10,Measurent tree,s,14.8,,,LOOS10,,,,,,,,,
1,19,OP,250,10,Measurent tree,n,12.6,,,LOIN10,,deep,,,,,,,
1,20,OP,250,10,Measurent tree,s,12.6,,,LOIS10,,deep,,,,,,,
1,21,OP,250,11,N,n,15.6,,,LOON11,,,,,,,,,
1,22,OP,250,11,N,s,15.6,,,LOOS11,,,,,,,,,
1,23,OP,250,17,W,n,13.7,,,LOON17,,,,,,,,,
1,24,OP,250,17,W,s,13.7,,,LOOS17,,,,,,,,,
1,25,OP,250,15,SW,n,15.5,,,LOON15,,,,,,,,,
1,26,OP,250,15,SW,s,15.5,,,LOOS15,,,,,,,,,
1,27,OP,250,14,S,n,14.6,,,LOON14,,,,,,,,,
1,28,OP,250,14,S,s,14.6,,,LOOS14,,,,,,,,,
1,29,OP,250,12,SE,n,17.1,,,LOON12,,,,,,,,,
1,30,OP,250,12,SE,s,17.1,,,LOOS12,,,,,,,,,
1,31,OP,250,16,SSW,n,14.5,,,LOON16,,,,,,,,,
1,32,OP,250,13,SSE,n,15.2,,,LOON13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sap System,Sensor,Clone ,Density,Tree,Direction from measurement tree,Orientation,Diameter 2/16 Taken just above sensor,,,,,Notes,,,,,,,
2,1,C4,250,1,Measurent tree,n,18.9,,,LCON1,,,,,,,,,
2,2,C4,250,1,Measurent tree,s,18.9,,,LCOS1,,,,,,,,,
2,3,C4,250,1,Measurent tree,n,18.3,,,LCIN1,,deep,,,,,,,
2,4,C4,250,1,Measurent tree,s,18.3,,,LCIS1,,deep,,,,,,,
2,5,C4,250,2,N,s,19.2,,,LCOS2,,,,,,,,,
2,6,C4,250,2,N,n,19.2,,,LCON2,,,,,,,,,
2,7,C4,250,3,NE,n,16.7,,,LCON3,,,,,,,,,
2,8,C4,250,4,E,n,17.4,,,LCON4,,,,,,,,,
2,9,C4,250,4,E,s,17.4,,,LCOS4,,,,,,,,,
2,10,C4,250,5,SE,n,19,,,LCON5,,,,,,,,,
2,11,C4,250,6,S,n,13,,,LCON6,,,,,,,,,
2,12,C4,250,6,S,s,13,,,LCOS6,,,,,,,,,
2,13,C4,250,7,SW,n,21,,,LCON7,,,,,,,,,
2,14,C4,250,8,W,n,13.9,,,LCON8,,,,,,,,,
2,15,C4,250,8,W,s,13.9,,,LCOS8,,,,,,,,,
2,16,C4,250,9,NW,n,19,,,LCON9,,,,,,,,,
2,17,OP,750,10,Measurent tree,n,16,,,HOON10,,,,,,,,,
2,18,OP,750,10,Measurent tree,s,16,,,HOOS10,,,,,,,,,
2,19,OP,750,10,Measurent tree,n,14.8,,,HOIN10,,deep,,,,,,,
2,20,OP,750,10,Measurent tree,s,14.8,,,HOIS10,,deep,,,,,,,
2,21,OP,750,11,N,n,13.3,,,HOON11,,,,,,,,,
2,22,OP,750,11,N,s,13.3,,,HOOS11,,,,,,,,,
2,23,OP,750,12,NE,n,10,,,HOON12,,,,,,,,,
2,24,OP,750,12,NE,s,10,,,HOOS12,,,,,,,,,
2,25,OP,750,13,SE,n,11.8,,,HOON13,,,,,,,,,
2,26,OP,750,14,S,n,14.8,,,HOON14,,,,,,,,,
2,27,OP,750,14,S,S,14.8,,,HOOS14,,,,,,,,,
2,28,OP,750,15,SW,n,10.1,,,HOON15,,,,,,,,,
2,29,OP,750,16,W,s,13,,,HOOS16,,,,,,,,,
2,30,OP,750,16,W,n,13,,,HOON16,,,,,,,,,
2,31,OP,750,17,SW,s,13.5,,,HOOS17,,,,,,,,,
2,32,OP,750,17,Sw,n,13.5,,,HOON17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sap System,Sensor,Clone ,Density,Tree,Direction from measurement tree,Orientation,Diameter 2/16 Taken just above sensor,,,,,Notes,,,,,,,
3,1,C2,250,1,Measurent tree,n,17.4,,,LAON1,,,,,,,,,
3,2,C2,250,1,Measurent tree,s,17.4,,,LAOS1,,,,,,,,,
3,3,C2,250,1,Measurent tree,n,16.9,,,LAIN1,,deep,,,,,,,
3,4,C2,250,1,Measurent tree,s,16.9,,,LAIS1,,deep,,,,,,,
3,5,C2,250,2,N,n,17.7,,,LAON2,,,,,,,,,
3,6,C2,250,2,N,s,17.7,,,LAOS2,,,,,,,,,
3,7,C2,250,3,NE,n,19.4,,,LAON3,,,,,,,,,
3,8,C2,250,4,E,n,18.1,,,LAON4,,,,,,,,,
3,9,C2,250,4,E,s,18.1,,,LAOS4,,,,,,,,,
3,10,C2,250,5,SE,n,14.9,,,LAON5,,,,,,,,,
3,11,C2,250,6,S,n,18,,,LAON6,,,,,,,,,
3,12,C2,250,6,S,s,18,,,LAOS6,,,,,,,,,
3,13,C2,250,7,WW,n,17.1,,,LAON7,,2 rows west,,,,,,,
3,14,C2,250,8,W,n,17.7,,,LAON8,,,,,,,,,
3,15,C2,250,8,W,s,17.7,,,LAOS8,,,,,,,,,
3,16,C2,250,9,NW,n,17.3,,,LAON9,,,,,,,,,
3,17,C3,250,10,Measurent tree,n,21,,,LB0N10,,,,,,,,,
3,18,C3,250,10,Measurent tree,s,21,,,LBOS10,,,,,,,,,
3,19,C3,250,10,Measurent tree,n,19.1,,,LBIN10,,deep,,,,,,,
3,20,C3,250,10,Measurent tree,s,19.1,,,LBIS10,,deep,,,,,,,
3,21,C3,250,11,E,n,16.7,,,LBON11,,,,,,,,,
3,22,C3,250,11,E,s,16.7,,,LBOS11,,,,,,,,,
3,23,C3,250,12,NEE,n,17.6,,,LBON12,,,,,,,,,
3,24,C3,250,12,NEE,s,17.6,,,LBOS12,,,,,,,,,
3,25,C3,250,13,NE,n,10.5,,,LBON13,,,,,,,,,
3,26,C3,250,14,NNE,n,19.8,,,LBON14,,,,,,,,,
3,27,C3,250,14,NNE,s,19.8,,,LBOS14,,,,,,,,,
3,28,C3,250,15,NN,n,16.4,,,LBON15,,,,,,,,,
3,29,C3,250,16,NNN,n,21.7,,,LBON16,,,,,,,,,
3,30,C3,250,16,NNN,s,21.7,,,LBOS16,,,,,,,,,
3,31,C3,250,17,NNNE,n,20.9,,,LBON17,,,,,,,,,
3,32,C3,250,17,NNNE,s,20.9,,,LBOS17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sap System,Sensor,Clone ,Density,Tree,Direction from measurement tree,Orientation,Diameter 2/16 Taken just above sensor,,,,,Notes,,,,,,,
4,1,C3,750,9,Measurent tree,n,14.3,,,HBON9,,,,,,,,,
4,2,C3,750,9,Measurent tree,s,14.3,,,HBOS9,,,,,,,,,
4,3,C3,750,9,Measurent tree,n,14,,,HBIN9,,deep,,,,,,,
4,4,C3,750,9,Measurent tree,s,14,,,HBIS9,,deep,,,,,,,
4,5,C3,750,10,N,n,15.2,,,HBON10,,,,,,,,,
4,6,C3,750,10,N,s,15.2,,,HBOS10,,,,,,,,,
4,7,C3,750,11,NE,n,17.2,,,HBON11,,,,,,,,,
4,8,C3,750,12,E,n,15.3,,,HBON12,,,,,,,,,
4,9,C3,750,12,E,s,15.3,,,HBOS12,,,,,,,,,
4,10,C3,750,13,SE,n,11.1,,,HBON13,,,,,,,,,
4,11,C3,750,14,S,n,14,,,HBON14,,,,,,,,,
4,12,C3,750,14,S,s,14,,,HBOS14,,,,,,,,,
4,13,C3,750,15,SSW,n,14.5,,,HBON15,,,,,,,,,
4,14,C3,750,16,SW,n,13.5,,,HBON16,,,,,,,,,
4,15,C3,750,16,SW,s,13.5,,,HBOS16,,,,,,,,,
4,16,C3,750,17,NW,n,15,,,HBON17,,,,,,,,,
4,17,C2,750,1,Measurent tree,n,14.9,,,HAON1,,,,,,,,,
4,18,C2,750,1,Measurent tree,s,14.9,,,HAOS1,,,,,,,,,
4,19,C2,750,1,Measurent tree,n,13.8,,,HAIN1,,deep,,,,,,,
4,20,C2,750,1,Measurent tree,s,13.8,,,HAIS1,,deep,,,,,,,
4,21,C2,750,2,N,s,13.7,,,HAOS2,,,,,,,,,
4,22,C2,750,2,N,n,13.7,,,HAON2,,,,,,,,,
4,23,C2,750,3,NE,n,16.1,,,HAON3,,,,,,,,,
4,24,C2,750,3,NE,s,16.1,,,HAOS3,,,,,,,,,
4,25,C2,750,4,E,n,15.8,,,HAON4,,,,,,,,,
4,26,C2,750,4,E,s,15.8,,,HAOS4,,,,,,,,,
4,27,C2,750,5,SE,n,13.2,,,HAON5,,,,,,,,,
4,28,C2,750,6,S,n,15.1,,,HAON6,,,,,,,,,
4,29,C2,750,6,S,s,15.1,,,HAOS6,,,,,,,,,
4,30,C2,750,7,SW,n,15.6,,,HAON7,,,,,,,,,
4,31,C2,750,8,W,n,15.1,,,HAON8,,,,,,,,,
4,32,C2,750,8,W,s,15.1,,,HAOS8,,,,,,,,,
